STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",01-01-2013,,78,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",02-01-2013,,78,88,70
IN020040900,"MADRAS MINAMBAKKAM, IN",03-01-2013,,78,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",04-01-2013,,78,88,71
IN020040900,"MADRAS MINAMBAKKAM, IN",05-01-2013,,79,88,71
IN020040900,"MADRAS MINAMBAKKAM, IN",06-01-2013,,78,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",07-01-2013,,78,88,71
IN020040900,"MADRAS MINAMBAKKAM, IN",08-01-2013,,79,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",09-01-2013,,78,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",10-01-2013,,77,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",11-01-2013,,78,89,70
IN020040900,"MADRAS MINAMBAKKAM, IN",12-01-2013,,76,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",13-01-2013,,76,87,67
IN020040900,"MADRAS MINAMBAKKAM, IN",14-01-2013,,75,87,67
IN020040900,"MADRAS MINAMBAKKAM, IN",15-01-2013,,76,87,67
IN020040900,"MADRAS MINAMBAKKAM, IN",16-01-2013,,77,87,68
IN020040900,"MADRAS MINAMBAKKAM, IN",17-01-2013,,76,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",18-01-2013,,77,87,70
IN020040900,"MADRAS MINAMBAKKAM, IN",19-01-2013,,77,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",20-01-2013,,78,,69
IN020040900,"MADRAS MINAMBAKKAM, IN",21-01-2013,,77,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",22-01-2013,,78,89,69
IN020040900,"MADRAS MINAMBAKKAM, IN",23-01-2013,,78,89,69
IN020040900,"MADRAS MINAMBAKKAM, IN",24-01-2013,,77,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",25-01-2013,,77,87,70
IN020040900,"MADRAS MINAMBAKKAM, IN",26-01-2013,,77,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",27-01-2013,,76,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",28-01-2013,,77,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",29-01-2013,,77,87,69
IN020040900,"MADRAS MINAMBAKKAM, IN",30-01-2013,,77,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",31-01-2013,,77,87,70
IN020040900,"MADRAS MINAMBAKKAM, IN",01-02-2013,,76,87,68
IN020040900,"MADRAS MINAMBAKKAM, IN",02-02-2013,,76,87,68
IN020040900,"MADRAS MINAMBAKKAM, IN",03-02-2013,,77,88,67
IN020040900,"MADRAS MINAMBAKKAM, IN",04-02-2013,,78,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",05-02-2013,,79,88,71
IN020040900,"MADRAS MINAMBAKKAM, IN",06-02-2013,,79,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",07-02-2013,,79,89,70
IN020040900,"MADRAS MINAMBAKKAM, IN",08-02-2013,,78,89,72
IN020040900,"MADRAS MINAMBAKKAM, IN",09-02-2013,,79,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",10-02-2013,,80,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",11-02-2013,,80,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",12-02-2013,,80,89,73
IN020040900,"MADRAS MINAMBAKKAM, IN",13-02-2013,,80,89,74
IN020040900,"MADRAS MINAMBAKKAM, IN",14-02-2013,,81,89,76
IN020040900,"MADRAS MINAMBAKKAM, IN",15-02-2013,,79,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",16-02-2013,,82,91,74
IN020040900,"MADRAS MINAMBAKKAM, IN",17-02-2013,0.31,81,91,76
IN020040900,"MADRAS MINAMBAKKAM, IN",18-02-2013,0.02,81,89,77
IN020040900,"MADRAS MINAMBAKKAM, IN",19-02-2013,0,81,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",20-02-2013,,79,89,72
IN020040900,"MADRAS MINAMBAKKAM, IN",21-02-2013,,79,89,71
IN020040900,"MADRAS MINAMBAKKAM, IN",22-02-2013,,79,88,71
IN020040900,"MADRAS MINAMBAKKAM, IN",23-02-2013,,78,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",24-02-2013,,77,88,67
IN020040900,"MADRAS MINAMBAKKAM, IN",25-02-2013,,77,90,68
IN020040900,"MADRAS MINAMBAKKAM, IN",26-02-2013,,78,93,68
IN020040900,"MADRAS MINAMBAKKAM, IN",27-02-2013,,80,93,
